# Proxy series have been linearly interpolated to annual dataseries, then smoothed using a 25 yr Gaussian low pass filter.					The composite series  have been normalised to the period 1000 - 1974 AD.  

# N1	Malangen Fjord	δ18O of benthic foraminifera 
# N2	Vøring Plateau	δ18O of planktonic foraminifera 
# N3	Vøring Plateau	Planktonic foraminifera 
# N4	Ranafjord	δ18O of benthic foraminifera 
# N5	Norwegian Margin	δ18O of planktonic foraminifera 
# N6	Norwegian Channel	δ18O of benthic foraminifera 
# I1	North Iceland Shelf	Arctica islandica shell growth increments 
# I2	North Iceland Shelf, core site MD99-2275	Diatoms 
# I3	North Iceland Shelf, core site MD99-2276	Alkenones 
# S1	Loch Sunart 	δ18O of benthic foraminifera 
# N_comp	Norwegian Coast	Composite record derived from N1-N6, normalised for the period 1000 - 1974  AD
# I_Comp	North Iceland Shelf	Composite record derived from I1-I3, normalised for the period 1000 - 1974  AD
# NENA_Comp		Composite record derived from the 10 proxy records shown above, normalised for the period 1000 - 1974  AD
#													
#													
Year	N1	N2	N3	N4	N5	N6	I1	I2	I3	S1	N_comp	I_Comp	NENA_Comp
1752	6.061	2.178	11.288	2.466	1.242	2.772	3.468	7.523	5.899	9.324	-1.017	-0.208	-0.637
1751	6.043	2.181	11.291	2.468	1.227	2.769	3.401	7.527	5.874	9.299	-0.968	-0.259	-0.651
1750	6.022	2.184	11.293	2.470	1.209	2.763	3.317	7.523	5.836	9.274	-0.901	-0.334	-0.667
1749	6.000	2.188	11.294	2.473	1.189	2.752	3.232	7.512	5.783	9.249	-0.824	-0.423	-0.684
1748	5.979	2.193	11.295	2.475	1.167	2.736	3.151	7.493	5.723	9.229	-0.730	-0.521	-0.690
1747	5.959	2.197	11.295	2.478	1.144	2.717	3.085	7.466	5.662	9.212	-0.626	-0.616	-0.687
1746	5.943	2.203	11.294	2.480	1.122	2.695	3.032	7.432	5.604	9.200	-0.516	-0.709	-0.678
1745	5.932	2.208	11.294	2.483	1.101	2.670	2.998	7.393	5.554	9.191	-0.405	-0.790	-0.659
1744	5.928	2.213	11.293	2.485	1.084	2.645	2.999	7.351	5.515	9.185	-0.297	-0.847	-0.627
1743	5.931	2.219	11.292	2.488	1.070	2.619	3.024	7.309	5.493	9.184	-0.202	-0.882	-0.589
1742	5.940	2.224	11.292	2.491	1.061	2.595	3.072	7.270	5.488	9.188	-0.122	-0.891	-0.545
1741	5.953	2.229	11.291	2.493	1.056	2.573	3.126	7.240	5.496	9.198	-0.054	-0.882	-0.496
1740	5.967	2.233	11.291	2.496	1.057	2.555	3.194	7.221	5.516	9.214	-0.017	-0.847	-0.451
1739	5.982	2.237	11.291	2.498	1.062	2.541	3.273	7.218	5.542	9.236	-0.001	-0.787	-0.402
1738	5.996	2.240	11.291	2.501	1.070	2.532	3.354	7.231	5.573	9.264	-0.005	-0.707	-0.354
1737	6.008	2.242	11.292	2.503	1.082	2.528	3.448	7.262	5.606	9.295	-0.033	-0.600	-0.302
1736	6.017	2.244	11.293	2.505	1.097	2.529	3.547	7.311	5.644	9.327	-0.084	-0.469	-0.252
1735	6.024	2.244	11.295	2.508	1.113	2.535	3.653	7.374	5.687	9.358	-0.149	-0.317	-0.199
1734	6.029	2.244	11.298	2.510	1.129	2.544	3.774	7.447	5.735	9.384	-0.220	-0.143	-0.138
1733	6.030	2.242	11.301	2.512	1.146	2.556	3.896	7.523	5.787	9.405	-0.300	0.037	-0.083
1732	6.026	2.240	11.304	2.513	1.163	2.569	4.028	7.595	5.846	9.418	-0.386	0.222	-0.031
1731	6.016	2.237	11.308	2.515	1.180	2.584	4.151	7.657	5.911	9.422	-0.481	0.392	0.002
1730	5.997	2.234	11.312	2.516	1.196	2.598	4.268	7.702	5.978	9.419	-0.577	0.543	0.019
1729	5.968	2.230	11.317	2.517	1.211	2.612	4.360	7.727	6.042	9.408	-0.673	0.655	0.009
1728	5.928	2.226	11.321	2.518	1.225	2.625	4.421	7.730	6.102	9.390	-0.771	0.722	-0.034
1727	5.880	2.222	11.325	2.518	1.239	2.635	4.429	7.712	6.153	9.368	-0.870	0.729	-0.115
1726	5.825	2.218	11.330	2.519	1.251	2.643	4.379	7.677	6.194	9.342	-0.963	0.676	-0.231
1725	5.765	2.213	11.333	2.520	1.263	2.648	4.290	7.631	6.227	9.314	-1.054	0.582	-0.370
1724	5.705	2.209	11.336	2.520	1.274	2.651	4.158	7.580	6.252	9.286	-1.136	0.451	-0.524
1723	5.649	2.205	11.338	2.521	1.284	2.652	3.996	7.528	6.270	9.260	-1.211	0.296	-0.686
1722	5.601	2.202	11.338	2.521	1.292	2.651	3.834	7.479	6.280	9.236	-1.269	0.142	-0.834
1721	5.566	2.199	11.336	2.522	1.300	2.649	3.679	7.438	6.287	9.214	-1.320	-0.002	-0.967
1720	5.546	2.196	11.330	2.522	1.306	2.647	3.552	7.404	6.294	9.197	-1.351	-0.119	-1.067
1719	5.544	2.194	11.322	2.522	1.312	2.643	3.467	7.377	6.305	9.182	-1.371	-0.199	-1.135
1718	5.560	2.193	11.309	2.523	1.316	2.640	3.424	7.354	6.321	9.172	-1.377	-0.246	-1.170
1717	5.591	2.192	11.293	2.523	1.320	2.638	3.416	7.332	6.342	9.164	-1.372	-0.265	-1.181
1716	5.636	2.192	11.272	2.524	1.324	2.636	3.443	7.306	6.369	9.159	-1.364	-0.263	-1.176
1715	5.688	2.193	11.248	2.524	1.327	2.635	3.498	7.273	6.403	9.159	-1.350	-0.246	-1.156
1714	5.745	2.195	11.220	2.524	1.331	2.636	3.571	7.231	6.445	9.167	-1.343	-0.223	-1.134
1713	5.800	2.197	11.190	2.525	1.335	2.637	3.633	7.177	6.493	9.187	-1.342	-0.217	-1.123
1712	5.850	2.199	11.157	2.525	1.339	2.640	3.683	7.114	6.545	9.220	-1.343	-0.227	-1.118
1711	5.894	2.202	11.122	2.525	1.344	2.644	3.705	7.045	6.595	9.265	-1.357	-0.263	-1.132
1710	5.928	2.205	11.087	2.525	1.350	2.649	3.691	6.975	6.641	9.317	-1.381	-0.325	-1.168
1709	5.954	2.208	11.050	2.525	1.356	2.655	3.645	6.912	6.680	9.368	-1.412	-0.405	-1.219
1708	5.971	2.211	11.013	2.524	1.363	2.660	3.562	6.861	6.709	9.412	-1.450	-0.502	-1.289
1707	5.980	2.214	10.977	2.524	1.370	2.666	3.450	6.830	6.724	9.441	-1.495	-0.603	-1.373
1706	5.981	2.217	10.940	2.524	1.377	2.671	3.330	6.822	6.724	9.452	-1.545	-0.692	-1.461
1705	5.974	2.219	10.905	2.523	1.384	2.676	3.206	6.839	6.710	9.443	-1.593	-0.763	-1.545
1704	5.959	2.221	10.870	2.523	1.390	2.680	3.076	6.882	6.688	9.416	-1.645	-0.816	-1.628
1703	5.937	2.222	10.837	2.522	1.396	2.684	2.961	6.946	6.663	9.378	-1.693	-0.838	-1.695
1702	5.908	2.222	10.806	2.522	1.401	2.686	2.856	7.027	6.639	9.335	-1.740	-0.836	-1.749
1701	5.873	2.220	10.777	2.521	1.404	2.687	2.766	7.116	6.619	9.293	-1.775	-0.815	-1.779
1700	5.835	2.218	10.751	2.521	1.407	2.687	2.695	7.207	6.605	9.257	-1.812	-0.776	-1.799
1699	5.799	2.213	10.728	2.520	1.407	2.687	2.632	7.291	6.596	9.229	-1.824	-0.736	-1.797
1698	5.768	2.208	10.707	2.520	1.406	2.685	2.599	7.365	6.591	9.210	-1.831	-0.686	-1.779
1697	5.746	2.200	10.688	2.519	1.404	2.684	2.576	7.423	6.588	9.201	-1.818	-0.644	-1.748
1696	5.737	2.192	10.672	2.518	1.400	2.681	2.577	7.464	6.586	9.205	-1.785	-0.602	-1.698
1695	5.744	2.183	10.659	2.518	1.395	2.679	2.589	7.488	6.585	9.221	-1.738	-0.570	-1.637
1694	5.767	2.172	10.646	2.517	1.390	2.676	2.616	7.497	6.585	9.247	-1.673	-0.543	-1.562
1693	5.804	2.161	10.635	2.516	1.383	2.673	2.643	7.493	6.585	9.281	-1.590	-0.529	-1.477
1692	5.851	2.150	10.625	2.515	1.377	2.670	2.682	7.480	6.582	9.322	-1.503	-0.517	-1.389
1691	5.904	2.138	10.615	2.514	1.370	2.666	2.730	7.462	6.574	9.368	-1.408	-0.506	-1.291
1690	5.958	2.126	10.606	2.513	1.363	2.663	2.775	7.442	6.554	9.420	-1.312	-0.503	-1.195
1689	6.008	2.114	10.597	2.511	1.356	2.660	2.831	7.421	6.523	9.474	-1.216	-0.499	-1.097
1688	6.048	2.103	10.588	2.509	1.350	2.657	2.883	7.402	6.477	9.531	-1.136	-0.501	-1.011
1687	6.075	2.092	10.580	2.507	1.343	2.654	2.945	7.386	6.412	9.587	-1.060	-0.501	-0.928
1686	6.085	2.082	10.572	2.504	1.337	2.651	3.002	7.372	6.324	9.638	-1.003	-0.511	-0.865
1685	6.080	2.072	10.564	2.502	1.330	2.648	3.057	7.361	6.212	9.680	-0.958	-0.528	-0.820
1684	6.061	2.064	10.557	2.498	1.325	2.647	3.102	7.352	6.079	9.711	-0.931	-0.558	-0.799
1683	6.034	2.057	10.551	2.495	1.319	2.646	3.138	7.345	5.932	9.724	-0.912	-0.598	-0.800
1682	6.003	2.052	10.545	2.492	1.313	2.647	3.142	7.337	5.782	9.719	-0.905	-0.662	-0.830
1681	5.976	2.049	10.541	2.488	1.308	2.650	3.126	7.330	5.645	9.696	-0.904	-0.733	-0.876
1680	5.955	2.047	10.537	2.485	1.303	2.654	3.096	7.322	5.532	9.658	-0.908	-0.805	-0.934
1679	5.946	2.047	10.534	2.481	1.299	2.661	3.053	7.311	5.452	9.610	-0.913	-0.876	-0.995
1678	5.951	2.049	10.532	2.478	1.296	2.670	3.005	7.299	5.413	9.558	-0.923	-0.936	-1.056
1677	5.973	2.052	10.531	2.474	1.293	2.681	2.958	7.285	5.410	9.507	-0.924	-0.983	-1.101
1676	6.014	2.055	10.530	2.470	1.291	2.695	2.944	7.267	5.439	9.464	-0.921	-0.999	-1.120
1675	6.073	2.060	10.530	2.467	1.291	2.710	2.953	7.247	5.490	9.428	-0.923	-0.993	-1.127
1674	6.147	2.065	10.530	2.463	1.292	2.726	2.983	7.226	5.554	9.398	-0.916	-0.970	-1.114
1673	6.233	2.071	10.530	2.460	1.294	2.743	3.030	7.202	5.625	9.374	-0.913	-0.935	-1.094
1672	6.327	2.077	10.530	2.457	1.297	2.760	3.102	7.178	5.695	9.351	-0.906	-0.884	-1.062
1671	6.422	2.083	10.530	2.454	1.302	2.777	3.169	7.155	5.760	9.326	-0.908	-0.836	-1.039
1670	6.506	2.089	10.529	2.452	1.308	2.793	3.235	7.133	5.815	9.296	-0.920	-0.793	-1.030
1669	6.570	2.094	10.528	2.451	1.315	2.808	3.294	7.114	5.859	9.259	-0.948	-0.755	-1.041
1668	6.605	2.100	10.526	2.450	1.323	2.821	3.337	7.098	5.891	9.215	-0.998	-0.730	-1.080
1667	6.605	2.105	10.522	2.450	1.332	2.832	3.363	7.087	5.918	9.167	-1.074	-0.713	-1.145
1666	6.571	2.109	10.517	2.452	1.342	2.842	3.375	7.081	5.947	9.123	-1.173	-0.700	-1.231
1665	6.508	2.113	10.511	2.454	1.352	2.849	3.373	7.078	5.984	9.089	-1.289	-0.690	-1.327
1664	6.422	2.116	10.502	2.458	1.362	2.855	3.362	7.080	6.028	9.074	-1.417	-0.678	-1.424
1663	6.324	2.118	10.490	2.462	1.370	2.859	3.341	7.084	6.078	9.082	-1.538	-0.669	-1.510
1662	6.223	2.120	10.477	2.467	1.377	2.861	3.331	7.090	6.131	9.116	-1.655	-0.649	-1.574
1661	6.130	2.121	10.461	2.473	1.382	2.861	3.336	7.098	6.184	9.174	-1.752	-0.617	-1.609
1660	6.049	2.121	10.444	2.480	1.384	2.859	3.354	7.105	6.234	9.248	-1.826	-0.579	-1.616
1659	5.987	2.120	10.425	2.486	1.382	2.855	3.393	7.111	6.280	9.327	-1.860	-0.528	-1.586
1658	5.942	2.120	10.404	2.494	1.378	2.849	3.455	7.116	6.324	9.401	-1.876	-0.465	-1.539
1657	5.914	2.118	10.383	2.501	1.370	2.840	3.529	7.117	6.369	9.458	-1.851	-0.396	-1.469
1656	5.898	2.117	10.360	2.508	1.360	2.827	3.607	7.116	6.421	9.490	-1.807	-0.325	-1.394
1655	5.893	2.116	10.338	2.516	1.349	2.812	3.666	7.110	6.481	9.496	-1.746	-0.268	-1.329
1654	5.895	2.114	10.317	2.523	1.335	2.793	3.708	7.101	6.551	9.478	-1.656	-0.221	-1.261
1653	5.902	2.113	10.297	2.530	1.322	2.771	3.728	7.087	6.628	9.440	-1.561	-0.192	-1.209
1652	5.911	2.111	10.279	2.537	1.308	2.747	3.723	7.070	6.709	9.389	-1.455	-0.181	-1.165
1651	5.919	2.110	10.266	2.544	1.296	2.720	3.684	7.048	6.790	9.333	-1.351	-0.198	-1.143
1650	5.926	2.109	10.258	2.551	1.284	2.692	3.632	7.025	6.866	9.277	-1.246	-0.227	-1.125
1649	5.930	2.108	10.257	2.557	1.275	2.664	3.567	6.999	6.934	9.227	-1.145	-0.271	-1.119
1648	5.933	2.108	10.264	2.562	1.267	2.636	3.500	6.974	6.986	9.188	-1.048	-0.321	-1.112
1647	5.935	2.108	10.282	2.566	1.261	2.609	3.447	6.949	7.015	9.160	-0.953	-0.371	-1.104
1646	5.938	2.109	10.311	2.569	1.258	2.584	3.408	6.927	7.019	9.145	-0.870	-0.418	-1.094
1645	5.942	2.110	10.352	2.570	1.256	2.562	3.385	6.908	6.997	9.142	-0.787	-0.462	-1.076
1644	5.945	2.112	10.405	2.570	1.255	2.544	3.381	6.894	6.954	9.152	-0.711	-0.495	-1.051
1643	5.946	2.115	10.468	2.568	1.256	2.530	3.392	6.884	6.896	9.176	-0.647	-0.520	-1.021
1642	5.945	2.118	10.540	2.564	1.257	2.519	3.423	6.879	6.829	9.212	-0.586	-0.530	-0.975
1641	5.941	2.121	10.621	2.559	1.258	2.513	3.460	6.876	6.762	9.261	-0.534	-0.535	-0.923
1640	5.934	2.125	10.708	2.553	1.260	2.510	3.501	6.874	6.704	9.319	-0.497	-0.531	-0.869
1639	5.927	2.128	10.799	2.545	1.260	2.510	3.560	6.873	6.659	9.383	-0.454	-0.510	-0.793
1638	5.922	2.132	10.893	2.537	1.260	2.513	3.618	6.869	6.632	9.451	-0.422	-0.486	-0.717
1637	5.922	2.136	10.987	2.528	1.259	2.518	3.674	6.863	6.620	9.517	-0.389	-0.459	-0.637
1636	5.932	2.140	11.081	2.519	1.257	2.525	3.735	6.854	6.623	9.577	-0.356	-0.425	-0.550
1635	5.950	2.144	11.171	2.510	1.253	2.533	3.783	6.841	6.635	9.625	-0.319	-0.402	-0.468
1634	5.976	2.149	11.256	2.500	1.248	2.544	3.833	6.826	6.655	9.660	-0.281	-0.375	-0.387
1633	6.006	2.153	11.333	2.491	1.242	2.556	3.860	6.811	6.679	9.680	-0.244	-0.363	-0.321
1632	6.036	2.157	11.399	2.481	1.236	2.569	3.869	6.796	6.705	9.686	-0.215	-0.362	-0.272
1631	6.061	2.161	11.452	2.471	1.228	2.584	3.858	6.785	6.730	9.680	-0.190	-0.371	-0.235
1630	6.078	2.165	11.489	2.462	1.221	2.600	3.832	6.778	6.750	9.665	-0.187	-0.388	-0.224
1629	6.083	2.169	11.509	2.453	1.213	2.617	3.788	6.778	6.762	9.641	-0.196	-0.413	-0.230
1628	6.073	2.173	11.511	2.444	1.205	2.636	3.728	6.786	6.762	9.613	-0.223	-0.445	-0.256
1627	6.048	2.177	11.494	2.436	1.198	2.654	3.660	6.799	6.749	9.582	-0.275	-0.483	-0.305
1626	6.011	2.182	11.460	2.429	1.190	2.673	3.588	6.819	6.721	9.550	-0.341	-0.522	-0.366
1625	5.965	2.186	11.410	2.423	1.183	2.690	3.517	6.842	6.680	9.519	-0.423	-0.562	-0.438
1624	5.918	2.190	11.348	2.418	1.176	2.706	3.462	6.868	6.627	9.493	-0.508	-0.594	-0.506
1623	5.875	2.194	11.275	2.415	1.169	2.720	3.420	6.893	6.564	9.474	-0.595	-0.621	-0.570
1622	5.844	2.198	11.194	2.413	1.163	2.730	3.408	6.915	6.495	9.466	-0.674	-0.634	-0.616
1621	5.829	2.202	11.109	2.413	1.157	2.735	3.426	6.934	6.425	9.469	-0.740	-0.629	-0.639
1620	5.832	2.206	11.021	2.415	1.151	2.736	3.468	6.949	6.359	9.483	-0.791	-0.611	-0.637
1619	5.852	2.210	10.932	2.419	1.147	2.732	3.540	6.959	6.301	9.506	-0.830	-0.575	-0.615
1618	5.886	2.214	10.845	2.424	1.143	2.723	3.636	6.967	6.257	9.536	-0.847	-0.520	-0.565
1617	5.929	2.218	10.762	2.430	1.141	2.710	3.754	6.973	6.235	9.570	-0.855	-0.442	-0.496
1616	5.975	2.221	10.685	2.436	1.140	2.692	3.872	6.980	6.241	9.605	-0.845	-0.354	-0.412
1615	6.017	2.224	10.615	2.444	1.142	2.672	3.985	6.989	6.278	9.637	-0.842	-0.254	-0.331
1614	6.052	2.227	10.555	2.452	1.145	2.650	4.088	7.002	6.348	9.661	-0.834	-0.144	-0.249
1613	6.077	2.229	10.505	2.460	1.151	2.627	4.159	7.019	6.453	9.673	-0.832	-0.038	-0.183
1612	6.091	2.231	10.468	2.468	1.159	2.605	4.212	7.041	6.589	9.675	-0.837	0.072	-0.128
1611	6.094	2.232	10.443	2.476	1.168	2.585	4.231	7.066	6.753	9.669	-0.845	0.174	-0.088
1610	6.088	2.233	10.430	2.485	1.180	2.569	4.236	7.093	6.938	9.663	-0.872	0.276	-0.064
1609	6.077	2.233	10.429	2.493	1.192	2.556	4.215	7.119	7.138	9.663	-0.898	0.366	-0.047
1608	6.061	2.233	10.437	2.501	1.204	2.549	4.188	7.141	7.341	9.676	-0.932	0.449	-0.035
1607	6.045	2.233	10.453	2.509	1.215	2.547	4.150	7.158	7.537	9.703	-0.969	0.517	-0.029
1606	6.028	2.232	10.476	2.517	1.225	2.550	4.117	7.166	7.713	9.745	-1.008	0.571	-0.027
1605	6.013	2.231	10.504	2.524	1.232	2.558	4.094	7.166	7.860	9.798	-1.038	0.612	-0.022
1604	6.002	2.230	10.534	2.530	1.237	2.570	4.086	7.158	7.970	9.857	-1.063	0.641	-0.018
1603	5.993	2.229	10.566	2.536	1.240	2.585	4.087	7.144	8.040	9.919	-1.084	0.655	-0.022
1602	5.988	2.228	10.598	2.540	1.241	2.604	4.103	7.126	8.069	9.980	-1.095	0.659	-0.024
1601	5.985	2.227	10.630	2.543	1.240	2.624	4.125	7.107	8.060	10.038	-1.097	0.651	-0.029
1600	5.982	2.227	10.660	2.545	1.240	2.646	4.143	7.091	8.015	10.092	-1.106	0.629	-0.048
1599	5.978	2.227	10.688	2.545	1.240	2.668	4.179	7.082	7.937	10.141	-1.112	0.614	-0.063
1598	5.972	2.227	10.714	2.544	1.241	2.690	4.212	7.080	7.831	10.183	-1.121	0.593	-0.087
1597	5.962	2.228	10.736	2.542	1.243	2.712	4.227	7.089	7.700	10.217	-1.139	0.562	-0.125
1596	5.950	2.229	10.755	2.539	1.246	2.733	4.234	7.107	7.547	10.239	-1.160	0.525	-0.173
1595	5.934	2.231	10.770	2.535	1.250	2.754	4.229	7.132	7.375	10.251	-1.188	0.481	-0.234
1594	5.915	2.233	10.781	2.530	1.256	2.774	4.190	7.162	7.187	10.256	-1.228	0.412	-0.318
1593	5.891	2.236	10.790	2.524	1.262	2.794	4.125	7.194	6.989	10.256	-1.272	0.324	-0.416
1592	5.862	2.240	10.795	2.518	1.268	2.812	4.035	7.225	6.786	10.256	-1.326	0.216	-0.530
1591	5.827	2.243	10.799	2.512	1.273	2.830	3.906	7.250	6.589	10.256	-1.382	0.078	-0.659
1590	5.787	2.247	10.800	2.506	1.278	2.846	3.766	7.269	6.408	10.257	-1.447	-0.067	-0.795
1589	5.746	2.251	10.800	2.500	1.282	2.861	3.610	7.280	6.252	10.256	-1.513	-0.222	-0.935
1588	5.704	2.255	10.799	2.494	1.285	2.875	3.479	7.284	6.130	10.249	-1.575	-0.353	-1.059
1587	5.666	2.259	10.797	2.488	1.287	2.886	3.378	7.283	6.050	10.233	-1.633	-0.454	-1.162
1586	5.634	2.262	10.796	2.481	1.288	2.895	3.313	7.279	6.016	10.206	-1.676	-0.515	-1.233
1585	5.608	2.265	10.794	2.475	1.288	2.902	3.281	7.274	6.024	10.168	-1.709	-0.538	-1.279
1584	5.591	2.266	10.792	2.469	1.287	2.905	3.272	7.272	6.070	10.122	-1.726	-0.528	-1.294
1583	5.583	2.267	10.791	2.463	1.285	2.906	3.290	7.274	6.145	10.070	-1.729	-0.485	-1.280
1582	5.586	2.266	10.790	2.456	1.283	2.903	3.318	7.283	6.239	10.019	-1.711	-0.421	-1.237
1581	5.600	2.263	10.790	2.450	1.281	2.898	3.365	7.297	6.343	9.975	-1.679	-0.334	-1.166
1580	5.625	2.259	10.790	2.443	1.278	2.891	3.404	7.317	6.451	9.944	-1.627	-0.246	-1.070
1579	5.662	2.253	10.790	2.436	1.276	2.882	3.454	7.340	6.554	9.931	-1.563	-0.149	-0.952
1578	5.708	2.245	10.791	2.429	1.273	2.871	3.483	7.364	6.647	9.938	-1.482	-0.069	-0.821
1577	5.761	2.236	10.793	2.422	1.270	2.860	3.524	7.386	6.725	9.963	-1.393	0.011	-0.675
1576	5.818	2.226	10.794	2.415	1.267	2.848	3.563	7.405	6.782	10.005	-1.298	0.079	-0.525
1575	5.874	2.215	10.796	2.407	1.265	2.836	3.599	7.416	6.815	10.057	-1.200	0.127	-0.381
1574	5.927	2.203	10.799	2.399	1.263	2.824	3.625	7.419	6.822	10.114	-1.104	0.150	-0.250
1573	5.974	2.191	10.801	2.391	1.261	2.812	3.636	7.413	6.802	10.170	-1.011	0.144	-0.142
1572	6.011	2.179	10.805	2.382	1.259	2.802	3.624	7.398	6.761	10.218	-0.921	0.104	-0.062
1571	6.040	2.166	10.809	2.374	1.259	2.791	3.580	7.374	6.700	10.253	-0.846	0.027	-0.023
1570	6.058	2.154	10.814	2.365	1.259	2.781	3.508	7.344	6.626	10.270	-0.775	-0.081	-0.016
1569	6.067	2.142	10.820	2.356	1.260	2.772	3.403	7.308	6.541	10.267	-0.713	-0.221	-0.047
1568	6.067	2.130	10.828	2.347	1.263	2.764	3.288	7.269	6.452	10.246	-0.663	-0.372	-0.104
1567	6.058	2.119	10.837	2.338	1.267	2.755	3.168	7.228	6.367	10.209	-0.623	-0.528	-0.181
1566	6.039	2.109	10.849	2.329	1.273	2.748	3.063	7.186	6.296	10.162	-0.596	-0.669	-0.266
1565	6.013	2.099	10.862	2.321	1.280	2.740	3.010	7.146	6.249	10.112	-0.579	-0.763	-0.335
1564	5.980	2.090	10.877	2.312	1.289	2.734	3.009	7.108	6.234	10.064	-0.572	-0.808	-0.382
1563	5.940	2.081	10.893	2.303	1.298	2.728	3.056	7.073	6.257	10.026	-0.570	-0.803	-0.399
1562	5.896	2.072	10.911	2.294	1.308	2.722	3.147	7.042	6.316	10.003	-0.572	-0.750	-0.386
1561	5.850	2.064	10.931	2.285	1.317	2.717	3.274	7.016	6.408	9.999	-0.573	-0.655	-0.338
1560	5.805	2.057	10.952	2.276	1.327	2.713	3.413	6.994	6.523	10.017	-0.581	-0.539	-0.271
1559	5.767	2.051	10.974	2.268	1.335	2.710	3.560	6.978	6.651	10.054	-0.581	-0.407	-0.179
1558	5.741	2.045	10.998	2.260	1.343	2.707	3.681	6.968	6.783	10.108	-0.572	-0.284	-0.079
1557	5.729	2.040	11.024	2.253	1.349	2.705	3.770	6.965	6.906	10.174	-0.554	-0.180	0.026
1556	5.735	2.037	11.053	2.247	1.353	2.704	3.808	6.969	7.012	10.244	-0.524	-0.109	0.122
1555	5.760	2.035	11.084	2.241	1.356	2.704	3.801	6.982	7.093	10.312	-0.478	-0.069	0.211
1554	5.803	2.036	11.119	2.237	1.356	2.704	3.762	7.002	7.143	10.370	-0.424	-0.056	0.288
1553	5.860	2.039	11.158	2.234	1.355	2.706	3.693	7.030	7.158	10.414	-0.364	-0.068	0.347
1552	5.925	2.044	11.200	2.233	1.353	2.710	3.602	7.067	7.130	10.442	-0.305	-0.103	0.384
1551	5.993	2.052	11.247	2.232	1.350	2.715	3.492	7.110	7.053	10.450	-0.250	-0.163	0.394
1550	6.057	2.062	11.298	2.234	1.346	2.723	3.378	7.159	6.927	10.437	-0.208	-0.239	0.372
1549	6.109	2.075	11.352	2.236	1.341	2.733	3.262	7.211	6.756	10.405	-0.182	-0.331	0.322
1548	6.146	2.088	11.408	2.240	1.335	2.745	3.147	7.264	6.547	10.353	-0.173	-0.436	0.240
1547	6.165	2.103	11.465	2.244	1.329	2.760	3.021	7.316	6.312	10.283	-0.183	-0.559	0.123
1546	6.165	2.119	11.522	2.249	1.323	2.777	2.903	7.363	6.067	10.201	-0.217	-0.686	-0.021
1545	6.149	2.134	11.577	2.254	1.317	2.796	2.782	7.405	5.832	10.112	-0.263	-0.816	-0.180
1544	6.118	2.148	11.628	2.260	1.310	2.816	2.656	7.438	5.626	10.021	-0.321	-0.947	-0.350
1543	6.076	2.161	11.673	2.265	1.304	2.837	2.530	7.461	5.469	9.934	-0.390	-1.070	-0.521
1542	6.028	2.172	11.711	2.271	1.297	2.859	2.416	7.474	5.374	9.852	-0.460	-1.170	-0.678
1541	5.978	2.181	11.739	2.277	1.291	2.879	2.313	7.477	5.351	9.776	-0.535	-1.246	-0.820
1540	5.930	2.187	11.757	2.283	1.285	2.899	2.213	7.469	5.398	9.703	-0.602	-1.303	-0.945
1539	5.887	2.190	11.765	2.289	1.279	2.917	2.130	7.451	5.505	9.632	-0.659	-1.336	-1.047
1538	5.850	2.189	11.761	2.295	1.275	2.932	2.067	7.425	5.659	9.559	-0.711	-1.345	-1.132
1537	5.819	2.186	11.747	2.301	1.271	2.945	2.022	7.391	5.841	9.485	-0.754	-1.339	-1.201
1536	5.792	2.181	11.724	2.306	1.269	2.954	2.021	7.350	6.034	9.411	-0.789	-1.306	-1.251
1535	5.770	2.173	11.693	2.312	1.269	2.960	2.043	7.304	6.221	9.340	-0.822	-1.266	-1.293
1534	5.752	2.164	11.658	2.317	1.270	2.962	2.101	7.253	6.392	9.276	-0.846	-1.212	-1.318
1533	5.736	2.155	11.620	2.321	1.272	2.962	2.178	7.199	6.541	9.222	-0.863	-1.157	-1.333
1532	5.724	2.145	11.580	2.326	1.276	2.958	2.286	7.143	6.669	9.181	-0.882	-1.091	-1.336
1531	5.716	2.136	11.542	2.329	1.282	2.951	2.417	7.086	6.780	9.152	-0.893	-1.018	-1.325
1530	5.711	2.127	11.506	2.331	1.287	2.941	2.556	7.030	6.877	9.137	-0.890	-0.943	-1.294
1529	5.710	2.120	11.474	2.333	1.294	2.928	2.686	6.976	6.962	9.135	-0.888	-0.877	-1.264
1528	5.711	2.115	11.448	2.334	1.300	2.913	2.800	6.926	7.037	9.144	-0.877	-0.822	-1.227
1527	5.713	2.112	11.427	2.334	1.306	2.896	2.884	6.882	7.100	9.163	-0.859	-0.786	-1.190
1526	5.718	2.110	11.412	2.333	1.311	2.877	2.952	6.844	7.149	9.186	-0.828	-0.759	-1.148
1525	5.726	2.110	11.403	2.331	1.315	2.856	2.972	6.817	7.178	9.211	-0.789	-0.762	-1.113
1524	5.737	2.112	11.398	2.328	1.318	2.834	2.961	6.800	7.185	9.235	-0.741	-0.784	-1.082
1523	5.752	2.116	11.398	2.325	1.319	2.811	2.928	6.795	7.170	9.255	-0.685	-0.817	-1.052
1522	5.773	2.120	11.401	2.322	1.319	2.787	2.868	6.803	7.133	9.270	-0.618	-0.864	-1.023
1521	5.798	2.126	11.405	2.318	1.318	2.764	2.789	6.824	7.077	9.280	-0.547	-0.917	-0.996
